Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Year
United States,0.26,0.09,0.12,0.28,0.12,0.13,2010
Alabama,0.25,0.09,0.11,0.28,0.13,0.14,2010
Alaska,0.29,0.09,0.13,0.29,0.12,0.08,2010
Arizona,0.27,0.09,0.12,0.26,0.12,0.14,2010
Arkansas,0.26,0.09,0.11,0.27,0.12,0.14,2010
California,0.27,0.1,0.13,0.28,0.11,0.11,2010
Colorado,0.26,0.09,0.13,0.29,0.12,0.11,2010
Connecticut,0.24,0.08,0.1,0.3,0.13,0.14,2010
Delaware,0.24,0.09,0.11,0.28,0.13,0.14,2010
District of Columbia,0.18,0.13,0.19,0.27,0.11,0.12,2010
Florida,0.23,0.09,0.11,0.28,0.13,0.17,2010
Georgia,0.27,0.09,0.12,0.29,0.11,0.11,2010
Hawaii,0.24,0.09,0.11,0.28,0.13,0.15,2010
Idaho,0.29,0.09,0.12,0.26,0.12,0.13,2010
Illinois,0.26,0.09,0.12,0.28,0.12,0.12,2010
Indiana,0.26,0.09,0.12,0.28,0.12,0.13,2010
Iowa,0.25,0.09,0.11,0.27,0.13,0.15,2010
Kansas,0.27,0.09,0.12,0.27,0.12,0.13,2010
Kentucky,0.25,0.09,0.12,0.28,0.13,0.13,2010
Louisiana,0.26,0.1,0.12,0.27,0.12,0.12,2010
Maine,0.22,0.08,0.1,0.3,0.15,0.16,2010
Maryland,0.25,0.09,0.12,0.3,0.12,0.12,2010
Massachusetts,0.23,0.09,0.12,0.3,0.13,0.14,2010
Michigan,0.25,0.09,0.11,0.29,0.13,0.14,2010
Minnesota,0.26,0.09,0.12,0.29,0.12,0.13,2010
Mississippi,0.27,0.09,0.11,0.27,0.12,0.13,2010
Missouri,0.25,0.09,0.11,0.28,0.12,0.14,2010
Montana,0.24,0.08,0.11,0.27,0.14,0.15,2010
Nebraska,0.26,0.09,0.12,0.27,0.12,0.13,2010
Nevada,0.26,0.09,0.13,0.28,0.12,0.12,2010
New Hampshire,0.23,0.08,0.1,0.32,0.14,0.14,2010
New Jersey,0.25,0.08,0.11,0.3,0.12,0.13,2010
New Mexico,0.27,0.1,0.11,0.27,0.13,0.13,2010
New York,0.24,0.1,0.12,0.29,0.12,0.13,2010
North Carolina,0.26,0.09,0.12,0.29,0.12,0.13,2010
North Dakota,0.24,0.11,0.12,0.26,0.13,0.14,2010
Ohio,0.25,0.09,0.11,0.28,0.13,0.14,2010
Oklahoma,0.27,0.09,0.12,0.27,0.12,0.14,2010
Oregon,0.24,0.09,0.12,0.27,0.14,0.14,2010
Pennsylvania,0.23,0.09,0.11,0.28,0.13,0.15,2010
Rhode Island,0.23,0.1,0.11,0.29,0.13,0.14,2010
South Carolina,0.25,0.09,0.11,0.28,0.13,0.14,2010
South Dakota,0.27,0.09,0.11,0.27,0.12,0.14,2010
Tennessee,0.25,0.09,0.12,0.28,0.13,0.14,2010
Texas,0.29,0.1,0.13,0.28,0.11,0.1,2010
Utah,0.33,0.11,0.15,0.23,0.09,0.09,2010
Vermont,0.22,0.08,0.1,0.3,0.15,0.15,2010
Virginia,0.25,0.09,0.12,0.29,0.12,0.12,2010
Washington,0.25,0.09,0.12,0.28,0.13,0.12,2010
West Virginia,0.22,0.08,0.11,0.28,0.15,0.16,2010
Wisconsin,0.25,0.09,0.11,0.29,0.13,0.14,2010
Wyoming,0.26,0.09,0.12,0.27,0.13,0.12,2010
Puerto Rico,0.26,0.1,0.12,0.26,0.12,0.15,2010
