Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Year
United States,0.24,0.09,0.12,0.26,0.13,0.15,2015
Alabama,0.24,0.09,0.12,0.26,0.13,0.16,2015
Alaska,0.27,0.11,0.14,0.25,0.13,0.1,2015
Arizona,0.25,0.09,0.12,0.25,0.12,0.17,2015
Arkansas,0.25,0.09,0.12,0.26,0.13,0.16,2015
California,0.25,0.1,0.13,0.27,0.12,0.13,2015
Colorado,0.24,0.09,0.14,0.27,0.13,0.13,2015
Connecticut,0.23,0.09,0.11,0.28,0.14,0.16,2015
Delaware,0.23,0.09,0.12,0.26,0.14,0.17,2015
District of Columbia,0.19,0.1,0.21,0.27,0.11,0.11,2015
Florida,0.22,0.09,0.11,0.26,0.13,0.2,2015
Georgia,0.26,0.09,0.12,0.28,0.12,0.13,2015
Hawaii,0.23,0.09,0.13,0.25,0.13,0.17,2015
Idaho,0.28,0.09,0.12,0.25,0.12,0.15,2015
Illinois,0.24,0.09,0.12,0.27,0.13,0.14,2015
Indiana,0.25,0.09,0.11,0.26,0.13,0.14,2015
Iowa,0.25,0.09,0.12,0.25,0.14,0.16,2015
Kansas,0.26,0.09,0.12,0.25,0.13,0.14,2015
Kentucky,0.24,0.09,0.11,0.27,0.14,0.15,2015
Louisiana,0.26,0.1,0.13,0.25,0.13,0.14,2015
Maine,0.2,0.08,0.1,0.27,0.16,0.19,2015
Maryland,0.24,0.09,0.12,0.28,0.13,0.14,2015
Massachusetts,0.22,0.09,0.12,0.28,0.14,0.15,2015
Michigan,0.23,0.09,0.11,0.26,0.14,0.16,2015
Minnesota,0.25,0.09,0.13,0.26,0.13,0.14,2015
Mississippi,0.26,0.09,0.11,0.26,0.13,0.15,2015
Missouri,0.24,0.09,0.12,0.26,0.14,0.16,2015
Montana,0.23,0.09,0.11,0.24,0.15,0.17,2015
Nebraska,0.26,0.09,0.12,0.25,0.13,0.15,2015
Nevada,0.24,0.09,0.13,0.27,0.12,0.15,2015
New Hampshire,0.21,0.08,0.1,0.28,0.16,0.16,2015
New Jersey,0.24,0.09,0.11,0.28,0.13,0.15,2015
New Mexico,0.26,0.09,0.12,0.24,0.13,0.16,2015
New York,0.22,0.09,0.13,0.27,0.13,0.15,2015
North Carolina,0.24,0.09,0.12,0.27,0.13,0.15,2015
North Dakota,0.25,0.11,0.14,0.24,0.13,0.14,2015
Ohio,0.24,0.09,0.11,0.26,0.14,0.16,2015
Oklahoma,0.26,0.09,0.12,0.25,0.13,0.15,2015
Oregon,0.22,0.09,0.12,0.26,0.14,0.17,2015
Pennsylvania,0.22,0.09,0.12,0.26,0.14,0.17,2015
Rhode Island,0.22,0.1,0.12,0.27,0.14,0.16,2015
South Carolina,0.24,0.09,0.11,0.26,0.13,0.16,2015
South Dakota,0.26,0.09,0.12,0.24,0.14,0.15,2015
Tennessee,0.24,0.09,0.12,0.27,0.13,0.15,2015
Texas,0.28,0.1,0.13,0.26,0.11,0.12,2015
Utah,0.32,0.11,0.13,0.24,0.1,0.1,2015
Vermont,0.2,0.08,0.11,0.27,0.16,0.18,2015
Virginia,0.24,0.09,0.12,0.27,0.13,0.14,2015
Washington,0.24,0.09,0.13,0.27,0.13,0.14,2015
West Virginia,0.22,0.09,0.1,0.26,0.15,0.18,2015
Wisconsin,0.24,0.09,0.11,0.26,0.14,0.16,2015
Wyoming,0.26,0.09,0.12,0.24,0.14,0.14,2015
Puerto Rico,0.23,0.1,0.11,0.26,0.12,0.18,2015
