Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Year
United States,0.25,0.09,0.12,0.27,0.13,0.14,2013
Alabama,0.25,0.09,0.11,0.26,0.13,0.15,2013
Alaska,0.27,0.11,0.14,0.27,0.13,0.09,2013
Arizona,0.26,0.1,0.12,0.25,0.12,0.16,2013
Arkansas,0.26,0.09,0.12,0.26,0.13,0.15,2013
California,0.25,0.1,0.13,0.27,0.12,0.13,2013
Colorado,0.25,0.09,0.13,0.28,0.13,0.12,2013
Connecticut,0.23,0.08,0.11,0.29,0.14,0.15,2013
Delaware,0.23,0.09,0.12,0.27,0.13,0.16,2013
District of Columbia,0.19,0.11,0.21,0.27,0.11,0.12,2013
Florida,0.22,0.09,0.11,0.26,0.13,0.19,2013
Georgia,0.27,0.09,0.12,0.28,0.12,0.12,2013
Hawaii,0.24,0.09,0.12,0.26,0.13,0.16,2013
Idaho,0.28,0.09,0.12,0.25,0.12,0.14,2013
Illinois,0.25,0.09,0.12,0.27,0.13,0.13,2013
Indiana,0.26,0.09,0.12,0.27,0.13,0.14,2013
Iowa,0.25,0.09,0.12,0.26,0.13,0.15,2013
Kansas,0.27,0.09,0.12,0.25,0.13,0.14,2013
Kentucky,0.24,0.09,0.11,0.27,0.13,0.14,2013
Louisiana,0.26,0.1,0.13,0.26,0.13,0.13,2013
Maine,0.21,0.08,0.1,0.28,0.16,0.18,2013
Maryland,0.24,0.09,0.12,0.28,0.13,0.13,2013
Massachusetts,0.22,0.09,0.12,0.28,0.13,0.15,2013
Michigan,0.24,0.1,0.11,0.27,0.14,0.15,2013
Minnesota,0.25,0.09,0.13,0.27,0.13,0.14,2013
Mississippi,0.26,0.1,0.11,0.26,0.13,0.14,2013
Missouri,0.24,0.09,0.12,0.26,0.13,0.15,2013
Montana,0.23,0.09,0.11,0.25,0.15,0.16,2013
Nebraska,0.26,0.09,0.12,0.25,0.13,0.14,2013
Nevada,0.25,0.09,0.13,0.27,0.12,0.14,2013
New Hampshire,0.22,0.08,0.1,0.29,0.15,0.15,2013
New Jersey,0.24,0.08,0.11,0.29,0.13,0.14,2013
New Mexico,0.26,0.1,0.11,0.25,0.13,0.15,2013
New York,0.23,0.1,0.13,0.28,0.13,0.14,2013
North Carolina,0.25,0.09,0.11,0.28,0.13,0.14,2013
North Dakota,0.24,0.12,0.12,0.25,0.13,0.14,2013
Ohio,0.24,0.09,0.11,0.27,0.14,0.15,2013
Oklahoma,0.26,0.1,0.12,0.26,0.12,0.14,2013
Oregon,0.23,0.09,0.12,0.27,0.14,0.15,2013
Pennsylvania,0.23,0.09,0.11,0.27,0.14,0.16,2013
Rhode Island,0.22,0.1,0.12,0.28,0.14,0.15,2013
South Carolina,0.24,0.09,0.11,0.27,0.13,0.15,2013
South Dakota,0.26,0.09,0.12,0.25,0.13,0.14,2013
Tennessee,0.24,0.09,0.12,0.27,0.13,0.15,2013
Texas,0.28,0.1,0.13,0.27,0.11,0.11,2013
Utah,0.33,0.11,0.14,0.24,0.09,0.1,2013
Vermont,0.21,0.08,0.11,0.28,0.16,0.17,2013
Virginia,0.24,0.09,0.12,0.28,0.13,0.14,2013
Washington,0.24,0.09,0.13,0.27,0.13,0.14,2013
West Virginia,0.22,0.09,0.11,0.27,0.15,0.17,2013
Wisconsin,0.24,0.09,0.12,0.27,0.14,0.15,2013
Wyoming,0.25,0.1,0.13,0.25,0.14,0.13,2013
Puerto Rico,0.24,0.1,0.11,0.26,0.12,0.17,2013
