Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Year
United States,0.24,0.09,0.12,0.26,0.13,0.16,2018
Alabama,0.24,0.09,0.12,0.25,0.14,0.17,2018
Alaska,0.27,0.09,0.13,0.26,0.13,0.12,2018
Arizona,0.24,0.09,0.12,0.24,0.12,0.18,2018
Arkansas,0.25,0.09,0.12,0.25,0.13,0.17,2018
California,0.24,0.09,0.14,0.26,0.12,0.14,2018
Colorado,0.24,0.09,0.14,0.26,0.13,0.14,2018
Connecticut,0.22,0.08,0.11,0.27,0.15,0.17,2018
Delaware,0.22,0.08,0.12,0.25,0.14,0.19,2018
District of Columbia,0.2,0.1,0.21,0.27,0.1,0.12,2018
Florida,0.21,0.08,0.12,0.25,0.14,0.21,2018
Georgia,0.26,0.09,0.12,0.27,0.12,0.14,2018
Hawaii,0.23,0.07,0.12,0.25,0.13,0.19,2018
Idaho,0.27,0.09,0.12,0.24,0.12,0.16,2018
Illinois,0.24,0.09,0.12,0.26,0.13,0.15,2018
Indiana,0.25,0.09,0.12,0.25,0.13,0.16,2018
Iowa,0.25,0.09,0.12,0.24,0.13,0.17,2018
Kansas,0.26,0.09,0.12,0.24,0.13,0.16,2018
Kentucky,0.24,0.09,0.12,0.26,0.14,0.16,2018
Louisiana,0.25,0.09,0.12,0.25,0.13,0.15,2018
Maine,0.19,0.07,0.11,0.26,0.16,0.21,2018
Maryland,0.23,0.08,0.12,0.27,0.14,0.15,2018
Massachusetts,0.21,0.09,0.13,0.26,0.14,0.17,2018
Michigan,0.23,0.09,0.12,0.25,0.14,0.17,2018
Minnesota,0.24,0.08,0.13,0.25,0.14,0.16,2018
Mississippi,0.26,0.09,0.11,0.25,0.13,0.16,2018
Missouri,0.24,0.09,0.12,0.25,0.14,0.17,2018
Montana,0.23,0.08,0.11,0.24,0.15,0.19,2018
Nebraska,0.26,0.09,0.12,0.25,0.13,0.16,2018
Nevada,0.24,0.08,0.13,0.27,0.13,0.16,2018
New Hampshire,0.2,0.08,0.11,0.26,0.16,0.18,2018
New Jersey,0.23,0.08,0.11,0.27,0.14,0.16,2018
New Mexico,0.24,0.09,0.12,0.24,0.13,0.18,2018
New York,0.22,0.09,0.13,0.26,0.14,0.16,2018
North Carolina,0.24,0.08,0.12,0.26,0.13,0.16,2018
North Dakota,0.24,0.11,0.14,0.23,0.13,0.15,2018
Ohio,0.23,0.09,0.12,0.25,0.14,0.17,2018
Oklahoma,0.26,0.09,0.13,0.24,0.13,0.16,2018
Oregon,0.22,0.08,0.13,0.26,0.13,0.18,2018
Pennsylvania,0.22,0.08,0.12,0.25,0.14,0.18,2018
Rhode Island,0.2,0.09,0.13,0.26,0.15,0.17,2018
South Carolina,0.23,0.09,0.11,0.25,0.14,0.18,2018
South Dakota,0.26,0.09,0.11,0.24,0.14,0.16,2018
Tennessee,0.24,0.09,0.12,0.26,0.13,0.16,2018
Texas,0.27,0.09,0.13,0.26,0.11,0.13,2018
Utah,0.31,0.11,0.13,0.24,0.1,0.11,2018
Vermont,0.19,0.08,0.11,0.25,0.16,0.2,2018
Virginia,0.24,0.09,0.12,0.26,0.13,0.16,2018
Washington,0.23,0.08,0.14,0.26,0.13,0.16,2018
West Virginia,0.21,0.08,0.11,0.25,0.15,0.2,2018
Wisconsin,0.23,0.09,0.11,0.26,0.14,0.17,2018
Wyoming,0.24,0.08,0.12,0.24,0.14,0.17,2018
Puerto Rico,0.2,0.1,0.11,0.26,0.13,0.21,2018
