Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Year
United States,0.25,0.09,0.12,0.27,0.13,0.14,2012
Alabama,0.25,0.1,0.11,0.27,0.13,0.14,2012
Alaska,0.27,0.11,0.13,0.28,0.13,0.08,2012
Arizona,0.26,0.09,0.12,0.26,0.12,0.15,2012
Arkansas,0.25,0.09,0.12,0.26,0.13,0.15,2012
California,0.26,0.1,0.13,0.28,0.11,0.12,2012
Colorado,0.25,0.09,0.13,0.28,0.13,0.12,2012
Connecticut,0.24,0.08,0.11,0.29,0.13,0.15,2012
Delaware,0.24,0.09,0.11,0.27,0.13,0.16,2012
District of Columbia,0.19,0.11,0.21,0.27,0.11,0.12,2012
Florida,0.22,0.09,0.11,0.27,0.13,0.18,2012
Georgia,0.27,0.09,0.12,0.28,0.12,0.12,2012
Hawaii,0.24,0.09,0.12,0.26,0.14,0.16,2012
Idaho,0.28,0.1,0.12,0.25,0.12,0.13,2012
Illinois,0.25,0.09,0.12,0.28,0.12,0.13,2012
Indiana,0.26,0.09,0.12,0.27,0.13,0.13,2012
Iowa,0.25,0.09,0.12,0.26,0.13,0.15,2012
Kansas,0.27,0.09,0.12,0.26,0.12,0.13,2012
Kentucky,0.25,0.09,0.12,0.28,0.13,0.14,2012
Louisiana,0.26,0.1,0.12,0.26,0.13,0.13,2012
Maine,0.21,0.08,0.1,0.28,0.16,0.17,2012
Maryland,0.24,0.09,0.12,0.29,0.13,0.13,2012
Massachusetts,0.23,0.09,0.12,0.29,0.13,0.14,2012
Michigan,0.24,0.1,0.11,0.27,0.14,0.15,2012
Minnesota,0.25,0.08,0.13,0.27,0.13,0.13,2012
Mississippi,0.27,0.1,0.11,0.26,0.12,0.13,2012
Missouri,0.25,0.09,0.12,0.27,0.13,0.15,2012
Montana,0.23,0.09,0.11,0.26,0.15,0.16,2012
Nebraska,0.27,0.09,0.12,0.26,0.13,0.14,2012
Nevada,0.25,0.09,0.13,0.28,0.12,0.13,2012
New Hampshire,0.22,0.08,0.1,0.3,0.15,0.15,2012
New Jersey,0.24,0.08,0.11,0.29,0.13,0.14,2012
New Mexico,0.27,0.09,0.12,0.25,0.13,0.14,2012
New York,0.23,0.1,0.13,0.28,0.13,0.14,2012
North Carolina,0.25,0.09,0.11,0.28,0.13,0.14,2012
North Dakota,0.24,0.11,0.13,0.25,0.13,0.14,2012
Ohio,0.24,0.09,0.11,0.27,0.14,0.15,2012
Oklahoma,0.26,0.09,0.12,0.26,0.12,0.14,2012
Oregon,0.23,0.09,0.12,0.27,0.14,0.15,2012
Pennsylvania,0.23,0.09,0.11,0.27,0.14,0.16,2012
Rhode Island,0.22,0.1,0.11,0.28,0.13,0.15,2012
South Carolina,0.25,0.09,0.11,0.27,0.13,0.15,2012
South Dakota,0.26,0.09,0.12,0.25,0.14,0.14,2012
Tennessee,0.25,0.09,0.12,0.28,0.13,0.14,2012
Texas,0.29,0.1,0.13,0.27,0.11,0.11,2012
Utah,0.32,0.11,0.14,0.23,0.09,0.1,2012
Vermont,0.21,0.09,0.1,0.28,0.16,0.16,2012
Virginia,0.24,0.09,0.12,0.29,0.13,0.13,2012
Washington,0.24,0.09,0.13,0.28,0.13,0.13,2012
West Virginia,0.22,0.09,0.11,0.27,0.15,0.17,2012
Wisconsin,0.24,0.09,0.12,0.28,0.13,0.14,2012
Wyoming,0.25,0.09,0.13,0.26,0.14,0.13,2012
Puerto Rico,0.25,0.1,0.11,0.26,0.12,0.16,2012
