Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Year
United States,0.26,0.09,0.12,0.29,0.12,0.13,2009
Alabama,0.26,0.09,0.12,0.28,0.12,0.14,2009
Alaska,0.29,0.1,0.12,0.29,0.12,0.08,2009
Arizona,0.28,0.09,0.13,0.26,0.11,0.13,2009
Arkansas,0.26,0.09,0.12,0.27,0.12,0.14,2009
California,0.27,0.1,0.13,0.28,0.11,0.11,2009
Colorado,0.26,0.09,0.13,0.29,0.12,0.11,2009
Connecticut,0.25,0.08,0.11,0.31,0.12,0.14,2009
Delaware,0.25,0.09,0.12,0.28,0.12,0.14,2009
District of Columbia,0.21,0.11,0.17,0.28,0.12,0.12,2009
Florida,0.23,0.09,0.11,0.28,0.12,0.17,2009
Georgia,0.28,0.09,0.12,0.29,0.11,0.1,2009
Hawaii,0.24,0.09,0.12,0.28,0.13,0.15,2009
Idaho,0.29,0.1,0.12,0.26,0.11,0.12,2009
Illinois,0.26,0.09,0.13,0.29,0.11,0.12,2009
Indiana,0.26,0.09,0.12,0.28,0.12,0.13,2009
Iowa,0.25,0.09,0.11,0.28,0.12,0.14,2009
Kansas,0.27,0.1,0.12,0.27,0.12,0.13,2009
Kentucky,0.25,0.09,0.12,0.29,0.12,0.13,2009
Louisiana,0.27,0.1,0.12,0.27,0.12,0.12,2009
Maine,0.22,0.08,0.1,0.3,0.14,0.15,2009
Maryland,0.25,0.09,0.12,0.3,0.12,0.12,2009
Massachusetts,0.23,0.09,0.12,0.31,0.12,0.13,2009
Michigan,0.25,0.09,0.11,0.29,0.12,0.13,2009
Minnesota,0.25,0.09,0.12,0.29,0.12,0.12,2009
Mississippi,0.28,0.1,0.12,0.27,0.11,0.13,2009
Missouri,0.26,0.09,0.12,0.28,0.12,0.13,2009
Montana,0.24,0.1,0.11,0.27,0.14,0.14,2009
Nebraska,0.26,0.1,0.12,0.27,0.11,0.13,2009
Nevada,0.27,0.09,0.13,0.28,0.11,0.12,2009
New Hampshire,0.23,0.09,0.1,0.32,0.13,0.13,2009
New Jersey,0.25,0.08,0.11,0.3,0.12,0.13,2009
New Mexico,0.27,0.1,0.12,0.26,0.12,0.13,2009
New York,0.24,0.09,0.12,0.29,0.12,0.13,2009
North Carolina,0.26,0.09,0.12,0.29,0.12,0.13,2009
North Dakota,0.24,0.12,0.11,0.27,0.12,0.14,2009
Ohio,0.25,0.09,0.12,0.29,0.12,0.14,2009
Oklahoma,0.27,0.1,0.12,0.27,0.12,0.13,2009
Oregon,0.24,0.09,0.12,0.28,0.13,0.13,2009
Pennsylvania,0.24,0.09,0.11,0.29,0.13,0.15,2009
Rhode Island,0.23,0.09,0.12,0.3,0.12,0.14,2009
South Carolina,0.25,0.09,0.12,0.28,0.13,0.14,2009
South Dakota,0.26,0.1,0.11,0.26,0.12,0.14,2009
Tennessee,0.25,0.09,0.12,0.29,0.12,0.13,2009
Texas,0.3,0.1,0.13,0.28,0.1,0.1,2009
Utah,0.33,0.12,0.14,0.23,0.09,0.09,2009
Vermont,0.22,0.1,0.1,0.3,0.14,0.14,2009
Virginia,0.25,0.09,0.12,0.29,0.12,0.12,2009
Washington,0.25,0.09,0.13,0.29,0.12,0.12,2009
West Virginia,0.22,0.09,0.11,0.28,0.14,0.16,2009
Wisconsin,0.25,0.09,0.11,0.29,0.12,0.13,2009
Wyoming,0.25,0.1,0.12,0.28,0.13,0.12,2009
Puerto Rico,0.26,0.1,0.12,0.26,0.11,0.14,2009
