Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Year
United States,0.25,0.09,0.12,0.28,0.12,0.13,2011
Alabama,0.25,0.09,0.11,0.27,0.13,0.14,2011
Alaska,0.28,0.1,0.13,0.28,0.13,0.08,2011
Arizona,0.27,0.1,0.12,0.26,0.12,0.14,2011
Arkansas,0.26,0.09,0.12,0.27,0.13,0.14,2011
California,0.26,0.1,0.13,0.28,0.11,0.12,2011
Colorado,0.25,0.09,0.13,0.28,0.13,0.11,2011
Connecticut,0.24,0.08,0.11,0.3,0.13,0.14,2011
Delaware,0.24,0.09,0.11,0.28,0.13,0.15,2011
District of Columbia,0.19,0.12,0.2,0.27,0.11,0.12,2011
Florida,0.22,0.09,0.11,0.27,0.13,0.18,2011
Georgia,0.27,0.09,0.12,0.29,0.12,0.11,2011
Hawaii,0.24,0.08,0.12,0.27,0.14,0.15,2011
Idaho,0.28,0.09,0.12,0.26,0.12,0.13,2011
Illinois,0.26,0.09,0.12,0.28,0.12,0.13,2011
Indiana,0.26,0.09,0.11,0.28,0.13,0.13,2011
Iowa,0.25,0.09,0.12,0.26,0.13,0.15,2011
Kansas,0.27,0.1,0.11,0.27,0.12,0.13,2011
Kentucky,0.25,0.09,0.12,0.28,0.13,0.14,2011
Louisiana,0.26,0.1,0.12,0.27,0.12,0.12,2011
Maine,0.21,0.08,0.1,0.29,0.15,0.16,2011
Maryland,0.25,0.09,0.12,0.29,0.13,0.12,2011
Massachusetts,0.23,0.09,0.12,0.29,0.13,0.14,2011
Michigan,0.25,0.09,0.11,0.28,0.13,0.14,2011
Minnesota,0.25,0.09,0.12,0.28,0.13,0.13,2011
Mississippi,0.27,0.09,0.11,0.27,0.12,0.13,2011
Missouri,0.25,0.09,0.12,0.27,0.13,0.14,2011
Montana,0.23,0.09,0.11,0.26,0.15,0.15,2011
Nebraska,0.26,0.1,0.12,0.26,0.12,0.13,2011
Nevada,0.26,0.09,0.13,0.28,0.12,0.13,2011
New Hampshire,0.23,0.08,0.1,0.31,0.14,0.14,2011
New Jersey,0.25,0.08,0.11,0.3,0.12,0.14,2011
New Mexico,0.27,0.1,0.11,0.25,0.13,0.14,2011
New York,0.23,0.1,0.12,0.28,0.13,0.14,2011
North Carolina,0.26,0.09,0.12,0.28,0.13,0.13,2011
North Dakota,0.24,0.12,0.12,0.25,0.13,0.14,2011
Ohio,0.25,0.09,0.11,0.28,0.13,0.14,2011
Oklahoma,0.27,0.09,0.12,0.26,0.12,0.14,2011
Oregon,0.23,0.09,0.12,0.27,0.14,0.14,2011
Pennsylvania,0.23,0.09,0.11,0.28,0.14,0.15,2011
Rhode Island,0.22,0.1,0.11,0.29,0.13,0.14,2011
South Carolina,0.25,0.09,0.11,0.27,0.13,0.14,2011
South Dakota,0.26,0.09,0.11,0.26,0.13,0.14,2011
Tennessee,0.25,0.09,0.12,0.28,0.13,0.14,2011
Texas,0.29,0.1,0.13,0.27,0.11,0.1,2011
Utah,0.33,0.11,0.14,0.23,0.09,0.09,2011
Vermont,0.21,0.08,0.1,0.29,0.16,0.15,2011
Virginia,0.25,0.09,0.12,0.29,0.13,0.13,2011
Washington,0.24,0.09,0.13,0.28,0.13,0.13,2011
West Virginia,0.22,0.09,0.1,0.27,0.15,0.16,2011
Wisconsin,0.25,0.09,0.11,0.28,0.13,0.14,2011
Wyoming,0.25,0.09,0.13,0.26,0.14,0.13,2011
Puerto Rico,0.25,0.1,0.11,0.26,0.12,0.15,2011
