Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Year
United States,0.24,0.09,0.12,0.26,0.13,0.16,2017
Alabama,0.24,0.09,0.11,0.25,0.14,0.17,2017
Alaska,0.27,0.09,0.14,0.26,0.13,0.11,2017
Arizona,0.25,0.09,0.12,0.25,0.12,0.17,2017
Arkansas,0.25,0.09,0.11,0.25,0.13,0.17,2017
California,0.24,0.1,0.14,0.27,0.12,0.14,2017
Colorado,0.24,0.09,0.14,0.27,0.13,0.14,2017
Connecticut,0.22,0.09,0.11,0.27,0.15,0.17,2017
Delaware,0.22,0.08,0.12,0.25,0.14,0.18,2017
District of Columbia,0.19,0.1,0.22,0.27,0.1,0.12,2017
Florida,0.21,0.08,0.11,0.25,0.14,0.2,2017
Georgia,0.26,0.09,0.12,0.27,0.12,0.14,2017
Hawaii,0.23,0.07,0.13,0.25,0.13,0.18,2017
Idaho,0.27,0.09,0.11,0.24,0.13,0.15,2017
Illinois,0.24,0.09,0.12,0.26,0.13,0.15,2017
Indiana,0.25,0.09,0.12,0.26,0.13,0.15,2017
Iowa,0.25,0.09,0.11,0.25,0.14,0.16,2017
Kansas,0.26,0.09,0.12,0.24,0.13,0.15,2017
Kentucky,0.24,0.09,0.11,0.26,0.14,0.16,2017
Louisiana,0.25,0.09,0.12,0.25,0.13,0.15,2017
Maine,0.2,0.07,0.11,0.26,0.16,0.2,2017
Maryland,0.24,0.08,0.12,0.27,0.14,0.15,2017
Massachusetts,0.22,0.09,0.13,0.27,0.14,0.16,2017
Michigan,0.23,0.09,0.11,0.25,0.14,0.17,2017
Minnesota,0.24,0.09,0.12,0.26,0.14,0.15,2017
Mississippi,0.26,0.09,0.11,0.25,0.13,0.16,2017
Missouri,0.24,0.09,0.12,0.25,0.14,0.16,2017
Montana,0.23,0.09,0.11,0.24,0.15,0.18,2017
Nebraska,0.26,0.09,0.12,0.24,0.13,0.15,2017
Nevada,0.24,0.09,0.13,0.27,0.12,0.15,2017
New Hampshire,0.2,0.08,0.11,0.27,0.16,0.17,2017
New Jersey,0.23,0.08,0.12,0.27,0.14,0.16,2017
New Mexico,0.25,0.09,0.12,0.24,0.14,0.17,2017
New York,0.22,0.09,0.13,0.26,0.13,0.16,2017
North Carolina,0.24,0.09,0.12,0.27,0.13,0.16,2017
North Dakota,0.24,0.1,0.14,0.24,0.13,0.15,2017
Ohio,0.24,0.09,0.12,0.25,0.14,0.16,2017
Oklahoma,0.26,0.09,0.12,0.25,0.13,0.15,2017
Oregon,0.22,0.08,0.13,0.26,0.13,0.17,2017
Pennsylvania,0.22,0.08,0.12,0.25,0.14,0.18,2017
Rhode Island,0.21,0.09,0.12,0.26,0.14,0.17,2017
South Carolina,0.23,0.09,0.11,0.26,0.14,0.17,2017
South Dakota,0.26,0.09,0.12,0.24,0.14,0.16,2017
Tennessee,0.24,0.09,0.12,0.26,0.13,0.16,2017
Texas,0.28,0.09,0.13,0.26,0.11,0.12,2017
Utah,0.32,0.11,0.13,0.24,0.1,0.11,2017
Vermont,0.2,0.09,0.11,0.25,0.16,0.19,2017
Virginia,0.24,0.09,0.12,0.27,0.13,0.15,2017
Washington,0.24,0.09,0.13,0.26,0.13,0.15,2017
West Virginia,0.22,0.08,0.1,0.25,0.15,0.19,2017
Wisconsin,0.23,0.09,0.11,0.26,0.14,0.16,2017
Wyoming,0.25,0.09,0.12,0.24,0.14,0.16,2017
Puerto Rico,0.21,0.1,0.1,0.26,0.13,0.2,2017
